"subset_index","columns","support_mask","support_columns","rho","components","tau","root_count","support_rank","support_components","delta","generic_kernel_dim","complement_rank","generic_endpoint_logq","component_endpoint_logq","endpoint_bound_logq","endpoint_root_weight_logq","line_assignments","kernel_profile","contained_root_line_count","contained_root_line_logq","exact_root_line_count","exact_root_line_logq","asymptotic_root_weight_logq","endpoint_excess_logq","projective_line_factor_logq","nonzero_root_normalization_logq","exceptional_kappa3_count","residual_endpoint_excess_logq"
"4","3:6:10:11:12","15","3:6:10:11","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"4","3:6:10:11:12","23","3:6:10:12","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"4","3:6:10:11:12","27","3:6:11:12","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"4","3:6:10:11:12","29","3:10:11:12","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"4","3:6:10:11:12","30","6:10:11:12","4","1","2","4","4","4","3","2","1","4","6","6","2","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","-1.8350586659542163","0.14514625050840735","0.15898972884349005","NA","-2.1391946453061137"
"4","3:6:10:11:12","31","3:6:10:11:12","4","1","2","5","4","1","4","3","0","7","5","7","2","248832","3:248820;4:12","33287772","7.223293225851743","31965852","7.206394275015425","2.206394275015425","0.20639427501542507","0.18143281313550919","0.19873716105436257","NA","-0.17377569917444669"
"5","0:3:7:8:12","15","0:3:7:8","3","1","2","4","3","1","2","0","1","-Infinity","1","1","-3","20736","0:17424;1:3300;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","0.036286562627101837","0.14514625050840735","0.15898972884349005","NA","-0.26784941672479556"
"5","0:3:7:8:12","23","0:3:7:12","3","1","2","4","3","2","2","0","1","-Infinity","2","2","-2","20736","0:18876;1:1848;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","-0.96371343737289816","0.14514625050840735","0.15898972884349005","NA","-1.2678494167247956"
"5","0:3:7:8:12","27","0:3:8:12","3","1","2","4","3","1","2","0","1","-Infinity","1","1","-3","20736","0:17424;1:3300;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","0.036286562627101837","0.14514625050840735","0.15898972884349005","NA","-0.26784941672479556"
"5","0:3:7:8:12","29","0:7:8:12","3","1","2","4","3","1","2","0","1","-Infinity","1","1","-3","20736","0:17424;1:3300;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","0.036286562627101837","0.14514625050840735","0.15898972884349005","NA","-0.26784941672479556"
