depth,k,output_weight_bound,zero_count,log2_union_tail
11,2048,717,1331,-168460.60807701
11,2048,718,1330,-168331.71762218
11,2048,719,1329,-168202.83025961
11,2048,720,1328,-168073.94598732
11,2048,721,1327,-167945.06480334
11,2048,722,1326,-167816.18670571
11,2048,723,1325,-167687.31169249
11,2048,724,1324,-167558.43976173
11,2048,725,1323,-167429.57091151
11,2048,726,1322,-167300.70513990
11,2048,727,1321,-167171.84244499
11,2048,728,1320,-167042.98282488
11,2048,729,1319,-166914.12627767
11,2048,730,1318,-166785.27280148
11,2048,731,1317,-166656.42239442
11,2048,732,1316,-166527.57505462
11,2048,733,1315,-166398.73078024
11,2048,734,1314,-166269.88956941
11,2048,735,1313,-166141.05142029
11,2048,736,1312,-166012.21633104
11,2048,737,1311,-165883.38429985
11,2048,738,1310,-165754.55532488
11,2048,739,1309,-165625.72940434
11,2048,740,1308,-165496.90653642
11,2048,741,1307,-165368.08671933
11,2048,742,1306,-165239.26995128
11,2048,743,1305,-165110.45623049
11,2048,744,1304,-164981.64555521
11,2048,745,1303,-164852.83792368
11,2048,746,1302,-164724.03333413
11,2048,747,1301,-164595.23178483
11,2048,748,1300,-164466.43327404
11,2048,749,1299,-164337.63780004
11,2048,750,1298,-164208.84536111
11,2048,751,1297,-164080.05595554
11,2048,752,1296,-163951.26958163
11,2048,753,1295,-163822.48623768
11,2048,754,1294,-163693.70592201
11,2048,755,1293,-163564.92863294
11,2048,756,1292,-163436.15436881
11,2048,757,1291,-163307.38312794
11,2048,758,1290,-163178.61490869
11,2048,759,1289,-163049.84970942
11,2048,760,1288,-162921.08752848
11,2048,761,1287,-162792.32836425
11,2048,762,1286,-162663.57221509
11,2048,763,1285,-162534.81907941
11,2048,764,1284,-162406.06895560
11,2048,765,1283,-162277.32184205
11,2048,766,1282,-162148.57773718
11,2048,767,1281,-162019.83663940
11,2048,768,1280,-161891.09854714
