shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
132,0:1:4:5:6:7:14:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
133,0:1:4:5:6:7:15:29:43,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
134,0:1:4:5:6:7:15:29:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
135,0:1:4:5:6:7:15:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
136,0:1:4:5:6:7:16:30:44,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
137,0:1:4:5:6:7:16:30:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
138,0:1:4:5:6:7:16:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
139,0:1:4:5:6:7:17:31:45,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
140,0:1:4:5:6:7:17:31:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
141,0:1:4:5:6:7:17:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
142,0:1:4:5:6:7:18:32:46,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
143,0:1:4:5:6:7:18:32:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
144,0:1:4:5:6:7:18:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
145,0:1:4:5:6:7:19:33:47,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
146,0:1:4:5:6:7:19:33:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
147,0:1:4:5:6:7:19:47:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
148,0:1:4:5:6:7:20:34:48,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
149,0:1:4:5:6:7:20:34:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
150,0:1:4:5:6:7:20:48:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
151,0:1:4:5:6:7:21:35:49,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
152,0:1:4:5:6:7:21:35:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
153,0:1:4:5:6:7:21:49:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
